Event ID,Pre-Mitigation Error Rate,Post-Mitigation Error Rate,Mitigation Efficiency
1,0.1099,0.0197,75.94
2,0.1014,0.0237,52.56
3,0.0788,0.0427,61.64
4,0.0506,0.017,74.6
5,0.0996,0.0435,65.51
6,0.0786,0.0044,59.09
7,0.1235,0.0388,75.21
8,0.0524,0.0424,66.14
9,0.1085,0.0091,62.91
10,0.1441,0.0215,73.2
11,0.0674,0.0083,56.66
12,0.0972,0.0353,96.39
13,0.0591,0.0268,93.39
14,0.1126,0.0318,85.38
15,0.1051,0.0098,55.31
16,0.0907,0.0106,88.79
17,0.1021,0.0021,90.4
18,0.1397,0.0161,88.39
19,0.0696,0.028,55.7
20,0.0523,0.0429,82.2
21,0.1362,0.0333,91.72
22,0.1077,0.0218,78.87
23,0.1391,0.0477,82.32
24,0.1097,0.036,72.92
25,0.131,0.0465,76.44
26,0.093,0.0264,51.72
27,0.125,0.0129,81.95
28,0.1413,0.0026,54.07
29,0.1072,0.0363,71.75
30,0.0681,0.0061,64.63
31,0.0769,0.0151,77.27
32,0.0699,0.0266,56.67
33,0.0747,0.0282,84.58
34,0.0806,0.03,89.75
35,0.1055,0.0083,58.17
36,0.1088,0.019,55.22
37,0.0926,0.0309,57.28
38,0.1115,0.0485,93.86
39,0.0582,0.0364,76.41
40,0.0588,0.0461,73.36
41,0.0672,0.0381,55.34
42,0.1018,0.0296,82.48
43,0.0714,0.0096,93.4
44,0.0783,0.0333,91.41
45,0.09,0.0312,81.3
46,0.1312,0.0301,53.76
47,0.0514,0.0245,55.62
48,0.1149,0.0264,52.47
49,0.1169,0.0167,62.87
50,0.1299,0.026,56.78
51,0.1433,0.0099,63.0
52,0.052,0.0403,69.25
53,0.0654,0.0093,97.15
54,0.1386,0.0042,80.52
55,0.0959,0.0218,91.75
56,0.1065,0.0329,85.52
57,0.1163,0.0219,55.63
58,0.1179,0.0138,86.8
59,0.1432,0.0279,63.75
60,0.1497,0.0174,81.96
61,0.122,0.0466,67.05
62,0.0787,0.0461,99.88
63,0.138,0.0251,63.18
64,0.0549,0.0164,63.96
65,0.0731,0.0369,96.53
66,0.1397,0.0018,51.23
67,0.0756,0.0237,84.83
68,0.0721,0.0168,86.27
69,0.0638,0.046,91.82
70,0.1359,0.0006,98.72
71,0.1,0.0276,98.78
72,0.1175,0.037,53.26
73,0.0739,0.0243,91.09
74,0.1258,0.0043,82.32
75,0.126,0.0486,82.37
76,0.0813,0.0259,56.42
77,0.0911,0.0307,82.51
78,0.071,0.0118,99.12
79,0.1477,0.0242,95.59
80,0.1146,0.0215,71.96
81,0.1435,0.0037,52.0
82,0.0803,0.0053,68.11
83,0.1282,0.0419,91.32
84,0.1266,0.012,85.07
85,0.1192,0.0097,72.97
86,0.1466,0.0252,52.76
87,0.0894,0.0384,71.34
88,0.0631,0.0031,73.45
89,0.1172,0.0288,96.43
90,0.1229,0.006,82.05
91,0.1075,0.0018,65.58
92,0.0707,0.0026,76.27
93,0.1004,0.0417,53.3
94,0.0812,0.0059,98.63
95,0.0927,0.0023,68.0
96,0.1145,0.0219,73.89
97,0.1245,0.0422,67.76
98,0.0732,0.0131,84.13
99,0.0905,0.0211,83.11
100,0.0769,0.002,85.77
101,0.0699,0.0225,63.41
102,0.1283,0.0289,65.78
103,0.1409,0.0285,56.26
104,0.087,0.0166,82.78
105,0.1251,0.0158,51.99
106,0.1397,0.0053,79.88
107,0.1346,0.0183,93.48
108,0.0683,0.005,94.54
109,0.1456,0.0383,72.45
110,0.0877,0.0483,72.97
111,0.0839,0.0485,53.85
112,0.0562,0.0433,83.54
113,0.0986,0.03,91.06
114,0.0609,0.035,62.23
115,0.0749,0.0143,71.07
116,0.0817,0.0315,91.94
117,0.1309,0.0228,93.86
118,0.1375,0.0241,62.16
119,0.0802,0.0379,77.53
120,0.1359,0.0141,59.62
121,0.1357,0.0159,55.09
122,0.1265,0.0462,95.56
123,0.0647,0.0028,91.03
124,0.119,0.0243,88.0
125,0.1445,0.0456,52.44
126,0.1183,0.0305,92.19
127,0.0832,0.0273,71.9
128,0.1001,0.0125,67.12
129,0.1146,0.0172,77.32
130,0.1011,0.0426,54.57
131,0.062,0.028,87.83
132,0.0812,0.0257,79.12
133,0.1302,0.005,59.33
134,0.1361,0.0008,59.41
135,0.0637,0.0482,59.21
136,0.1452,0.0188,52.85
137,0.0829,0.0302,79.39
138,0.1162,0.004,92.02
139,0.1252,0.0342,50.87
140,0.1312,0.0466,52.45
141,0.1446,0.0288,78.64
142,0.0813,0.0063,90.97
143,0.1359,0.0291,66.34
144,0.0632,0.0383,67.48
145,0.1205,0.0203,79.82
146,0.1242,0.044,63.71
147,0.1178,0.0324,51.33
148,0.0752,0.045,86.76
149,0.1373,0.0312,81.28
150,0.0669,0.0066,79.04
151,0.0554,0.0155,87.08
152,0.1217,0.0101,83.76
153,0.0975,0.0454,60.29
154,0.1349,0.038,67.62
155,0.0883,0.0338,56.31
156,0.0668,0.015,56.49
157,0.1336,0.0092,83.81
158,0.1049,0.0378,92.93
159,0.0689,0.0237,98.14
160,0.122,0.0113,81.42
161,0.1011,0.0308,59.21
162,0.1104,0.002,55.28
163,0.0961,0.0163,90.64
164,0.1329,0.0234,78.94
165,0.133,0.0074,80.91
166,0.1209,0.0492,89.07
167,0.0605,0.0105,85.16
168,0.1339,0.0065,91.72
169,0.1171,0.0102,52.81
170,0.1197,0.0385,87.38
171,0.0863,0.0213,92.54
172,0.1379,0.0283,64.31
173,0.1225,0.0011,82.02
174,0.0613,0.0017,65.71
175,0.0908,0.0223,97.9
176,0.1386,0.0408,51.67
177,0.0547,0.0443,78.99
178,0.1461,0.0043,58.33
179,0.1179,0.0269,85.61
180,0.1131,0.0457,58.79
181,0.0771,0.0194,61.77
182,0.0749,0.0415,74.72
183,0.1442,0.0067,95.74
184,0.0798,0.0468,60.59
185,0.1276,0.0376,57.21
186,0.0893,0.0471,87.95
187,0.0639,0.0338,75.03
188,0.0511,0.0182,95.59
189,0.1044,0.0469,57.33
190,0.1476,0.0138,82.3
191,0.0869,0.0166,61.64
192,0.0857,0.035,57.84
193,0.0844,0.0383,84.17
194,0.1021,0.0465,79.68
195,0.0941,0.0102,87.74
196,0.138,0.0399,65.47
197,0.1006,0.0369,72.4
198,0.1008,0.0032,70.27
199,0.0638,0.0194,99.2
200,0.1483,0.0141,64.61
201,0.075,0.0152,64.74
202,0.0573,0.0491,67.73
203,0.1163,0.0321,78.23
204,0.1095,0.0359,62.62
205,0.0915,0.0488,95.76
206,0.0922,0.0189,63.28
207,0.1285,0.0401,94.79
208,0.0696,0.0217,55.17
209,0.132,0.0435,82.83
210,0.1149,0.009,95.35
211,0.0919,0.0474,58.44
212,0.0958,0.0109,98.42
213,0.0757,0.0163,72.64
214,0.1252,0.0378,97.29
215,0.1013,0.0197,83.84
216,0.0821,0.0304,65.08
217,0.1096,0.0222,59.42
218,0.1496,0.0371,65.19
219,0.0935,0.0114,54.65
220,0.1421,0.0029,57.19
221,0.0845,0.015,55.23
222,0.0555,0.0237,71.15
223,0.0704,0.0084,89.78
224,0.0919,0.0177,57.07
225,0.072,0.02,56.52
226,0.05,0.0029,82.17
227,0.1415,0.0292,59.86
228,0.1344,0.0442,54.88
229,0.1242,0.0076,58.34
230,0.0668,0.0299,96.19
231,0.062,0.0332,91.07
232,0.0568,0.021,67.7
233,0.1224,0.0351,82.79
234,0.1429,0.0205,76.86
235,0.0931,0.0252,83.86
236,0.0619,0.0004,84.13
237,0.1012,0.0346,81.44
238,0.0849,0.0331,63.31
239,0.0875,0.0019,51.95
240,0.1121,0.0184,72.78
241,0.1219,0.049,94.55
242,0.0611,0.021,78.47
243,0.0536,0.0251,91.62
244,0.1494,0.0455,99.58
245,0.0733,0.0359,58.18
246,0.0554,0.0291,84.59
247,0.069,0.0399,83.71
248,0.0539,0.0432,99.0
249,0.0892,0.0228,99.28
250,0.1302,0.0238,84.33
251,0.0841,0.0193,62.18
252,0.0944,0.0483,89.93
253,0.1176,0.0349,55.35
254,0.1009,0.0042,89.03
255,0.1361,0.0431,95.51
256,0.1366,0.024,69.14
257,0.051,0.0034,81.53
258,0.1278,0.0275,71.51
259,0.0961,0.0209,71.89
260,0.1489,0.0439,65.52
261,0.0983,0.0102,88.11
262,0.1487,0.0413,96.81
263,0.1255,0.0279,97.04
264,0.0749,0.0027,58.74
265,0.1038,0.0486,93.74
266,0.1492,0.0256,86.87
267,0.1358,0.0145,62.64
268,0.0597,0.0235,53.36
269,0.1206,0.0429,63.4
270,0.0846,0.0152,95.61
271,0.0507,0.0096,81.66
272,0.0903,0.0065,86.05
273,0.0735,0.0149,62.86
274,0.1319,0.039,85.97
275,0.0837,0.0236,51.41
276,0.1328,0.0114,68.77
277,0.0501,0.0083,81.34
278,0.0808,0.0166,57.3
279,0.0741,0.047,91.15
280,0.0734,0.0172,61.75
281,0.0568,0.0494,82.61
282,0.0687,0.0243,70.26
283,0.1056,0.009,79.8
284,0.0791,0.0446,55.37
285,0.0917,0.023,50.85
286,0.0877,0.0355,95.48
287,0.1376,0.0492,63.48
288,0.1405,0.0025,90.98
289,0.0993,0.0048,99.97
290,0.083,0.036,60.57
291,0.0607,0.0141,63.26
292,0.1453,0.0092,83.14
293,0.056,0.002,98.27
294,0.0798,0.0011,95.79
295,0.0798,0.0387,75.14
296,0.082,0.0067,89.76
297,0.0664,0.0234,56.79
298,0.1283,0.0303,98.87
299,0.0622,0.0214,98.22
300,0.1135,0.0014,58.19
301,0.0624,0.0392,64.97
302,0.0571,0.0005,55.01
303,0.1409,0.0381,63.59
304,0.069,0.0447,90.8
305,0.1321,0.0216,68.92
306,0.1045,0.0268,54.42
307,0.0578,0.0238,67.11
308,0.1455,0.0195,99.07
309,0.0747,0.0444,81.48
310,0.136,0.0447,70.81
311,0.0669,0.0168,58.33
312,0.1354,0.0308,99.31
313,0.0513,0.0463,91.04
314,0.1012,0.0481,64.07
315,0.1269,0.0254,53.5
316,0.1435,0.0226,52.83
317,0.1409,0.0139,56.02
318,0.132,0.0479,79.04
319,0.1388,0.0071,96.44
320,0.0699,0.029,74.84
321,0.0784,0.0141,92.15
322,0.0789,0.014,72.29
323,0.0877,0.0202,85.43
324,0.0893,0.0499,86.59
325,0.1045,0.0027,58.7
326,0.066,0.0289,68.06
327,0.1191,0.0041,81.87
328,0.0668,0.0077,53.53
329,0.081,0.022,68.08
330,0.1003,0.0255,76.74
331,0.1296,0.0129,99.81
332,0.1239,0.0158,73.73
333,0.1146,0.0043,90.8
334,0.0656,0.0152,71.6
335,0.1047,0.0483,89.82
336,0.0587,0.0472,79.77
337,0.0877,0.0167,94.33
338,0.0914,0.0285,70.55
339,0.054,0.0455,80.22
340,0.0774,0.0003,81.5
341,0.1456,0.0405,70.87
342,0.1454,0.0474,57.22
343,0.0852,0.0046,54.68
344,0.0543,0.0081,50.83
345,0.0679,0.048,93.68
346,0.0892,0.0269,61.82
347,0.1448,0.0007,60.58
348,0.0641,0.0129,86.8
349,0.1264,0.0225,66.0
350,0.0609,0.0346,75.3
351,0.1481,0.0367,58.13
352,0.0882,0.0498,97.99
353,0.1275,0.0144,92.58
354,0.0843,0.0269,93.19
355,0.1128,0.0267,70.34
356,0.0692,0.0203,88.12
357,0.0646,0.0085,57.19
358,0.1438,0.0489,50.43
359,0.1418,0.0427,51.0
360,0.1387,0.0249,79.33
361,0.1125,0.0302,72.77
362,0.1308,0.0114,75.9
363,0.0569,0.0272,50.37
364,0.0835,0.0347,71.13
365,0.0814,0.0258,85.9
366,0.1136,0.0495,72.13
367,0.0856,0.0306,86.61
368,0.0649,0.0185,61.65
369,0.1096,0.0386,90.66
370,0.1314,0.0085,79.42
371,0.0882,0.0192,60.54
372,0.0632,0.0173,61.84
373,0.0697,0.0216,81.4
374,0.0737,0.0391,91.5
375,0.08,0.0242,70.78
376,0.1143,0.0397,62.92
377,0.1101,0.0288,93.35
378,0.1196,0.0171,83.46
379,0.0863,0.0405,72.4
380,0.1324,0.0119,74.4
381,0.0704,0.0112,60.21
382,0.0969,0.0252,81.34
383,0.1301,0.013,67.94
384,0.068,0.0005,99.78
385,0.061,0.0324,74.01
386,0.1384,0.0256,74.29
387,0.0843,0.0223,78.29
388,0.1184,0.0483,95.84
389,0.0525,0.0286,90.04
390,0.119,0.0432,72.56
391,0.0816,0.007,85.93
392,0.0556,0.0285,79.31
393,0.111,0.0434,74.62
394,0.0741,0.0292,59.62
395,0.0887,0.0359,73.2
396,0.0581,0.0186,62.29
397,0.0647,0.0046,95.74
398,0.0798,0.0229,66.77
399,0.059,0.0197,97.61
400,0.1411,0.0434,76.65
401,0.0506,0.0122,81.58
402,0.0984,0.0483,77.15
403,0.0623,0.0479,56.47
404,0.0808,0.0124,68.79
405,0.1426,0.0174,54.96
406,0.0662,0.0448,81.15
407,0.1466,0.0483,72.34
408,0.0706,0.0222,88.9
409,0.1242,0.016,61.02
410,0.1047,0.0263,58.23
411,0.1384,0.0344,70.32
412,0.1054,0.0137,96.33
413,0.1035,0.0368,85.52
414,0.0695,0.0026,70.95
415,0.0666,0.0025,75.86
416,0.1416,0.0193,54.21
417,0.0828,0.0177,99.23
418,0.0872,0.0158,83.32
419,0.126,0.0246,64.27
420,0.0839,0.016,79.29
421,0.1452,0.0096,55.47
422,0.1238,0.0155,98.29
423,0.1097,0.0487,58.74
424,0.1381,0.0206,82.4
425,0.055,0.0222,62.27
426,0.0757,0.0288,85.88
427,0.0965,0.0492,88.84
428,0.0727,0.0121,83.67
429,0.1244,0.0341,80.72
430,0.1419,0.0358,94.62
431,0.0924,0.0304,53.93
432,0.0842,0.0044,66.55
433,0.1462,0.0338,62.41
434,0.0945,0.0032,99.4
435,0.0989,0.0298,69.47
436,0.0852,0.037,86.63
437,0.141,0.0105,84.24
438,0.1069,0.0421,60.6
439,0.1262,0.0015,61.95
440,0.1312,0.0422,64.06
441,0.0842,0.023,70.56
442,0.0934,0.0109,61.72
443,0.1348,0.0067,50.98
444,0.0863,0.0477,93.97
445,0.1294,0.0036,98.28
446,0.1441,0.01,67.08
447,0.1123,0.0174,66.93
448,0.1242,0.031,50.35
449,0.1305,0.0272,84.01
450,0.1345,0.0063,91.27
451,0.0895,0.0145,57.33
452,0.0551,0.0119,57.98
453,0.0902,0.0107,89.5
454,0.1174,0.0206,80.81
455,0.095,0.0352,52.24
456,0.1249,0.0109,81.13
457,0.0857,0.0183,65.45
458,0.1135,0.0195,68.44
459,0.0686,0.0488,88.49
460,0.1249,0.0477,90.55
461,0.1046,0.04,70.02
462,0.0704,0.0121,97.36
463,0.0792,0.0034,70.32
464,0.1249,0.0158,88.59
465,0.0983,0.0133,74.19
466,0.0716,0.0253,94.88
467,0.1467,0.0389,95.39
468,0.1215,0.0429,54.37
469,0.1457,0.0422,96.82
470,0.0927,0.018,91.28
471,0.0975,0.0344,89.57
472,0.1398,0.0156,60.05
473,0.1025,0.003,90.26
474,0.1207,0.0351,92.51
475,0.0752,0.0005,64.46
476,0.0947,0.0205,97.61
477,0.0623,0.0165,52.49
478,0.0706,0.0347,57.5
479,0.0501,0.0383,76.88
480,0.0539,0.0152,78.79
481,0.1477,0.0406,82.26
482,0.0742,0.0147,50.85
483,0.1163,0.0223,98.02
484,0.1339,0.0364,52.23
485,0.1051,0.0346,57.15
486,0.0653,0.0494,50.7
487,0.1228,0.0113,78.34
488,0.11,0.0331,96.61
489,0.1231,0.0305,83.3
490,0.127,0.0458,91.13
491,0.1475,0.0078,50.66
492,0.1074,0.0376,77.1
493,0.0842,0.0284,72.98
494,0.1148,0.0137,74.95
495,0.0568,0.0237,53.61
496,0.1397,0.0167,84.22
497,0.0619,0.029,75.16
498,0.0828,0.0445,88.26
499,0.1316,0.0285,74.26
500,0.1097,0.0316,57.47
